ID,App Activity Type,Subscription Expiration,Auto Renew,Language,Subscription Type,Subscription Event Type,Purchase Store,Purchase Amount,Currency,Subscription Start Date,Demo User,Free Trial User,Country,User Type,Lead Platform,Email Subscriber,Push Notifications,Send Count,Open Count,Click Count,Unique Open Count,Unique Click Count,App Session Platform,App Session Date,Churn
2,77,2/28/2020,0,EBR,Limited,INITIAL_PURCHASE,Web,39.0,USD,11/28/2019,No,No,United States,Consumer,Web,No,Yes,4.0,3.0,0.0,1.0,0.0,android,12/3/2019,1
3,76,12/31/2019,0,ESP,Limited,INITIAL_PURCHASE,Web,0.0,USD,12/31/2018,No,No,United States,Consumer,Web,Yes,Yes,1.0,0.0,0.0,0.0,0.0,ios,5/2/2019,1
6,49,11/23/2019,0,ESP,Limited,INITIAL_PURCHASE,Web,38.34,USD,8/23/2019,Yes,No,United States,Consumer,App,Yes,Yes,162.0,1.0,0.0,1.0,0.0,android,8/26/2019,1
7,33,11/11/2019,0,ESP,Limited,RENEWAL,Web,79.0,USD,7/21/2019,Yes,No,United States,Consumer,App,Yes,Yes,2.0,0.0,0.0,0.0,0.0,android,7/21/2019,1
8,78,6/7/2020,0,DEU,Limited,INITIAL_PURCHASE,Web,38.4,USD,3/7/2020,Yes,No,United States,Consumer,App,Yes,Yes,25.0,17.0,4.0,7.0,2.0,ios,2/27/2020,0
9,43,6/8/2020,0,DEU,Limited,INITIAL_PURCHASE,Web,43.16,USD,3/3/2020,No,Yes,United States,Consumer,Web,No,Yes,52.0,11.0,0.0,5.0,0.0,web,3/30/2020,0
12,19,1/21/2020,0,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,10/17/2019,No,Yes,United States,Consumer,Web,Yes,Yes,94.0,0.0,0.0,0.0,0.0,ios,10/23/2019,1
13,278,5/17/2020,0,GLE,Limited,RENEWAL,Web,13.65928964126392,GBP,3/17/2019,No,No,United Kingdom,Consumer,Web,No,Yes,70.0,70.0,0.0,2.0,0.0,ios,4/15/2019,0
14,7,3/25/2022,0,ALL,Limited,INITIAL_PURCHASE,Web,143.76,USD,3/25/2020,No,No,United States,Consumer,Web,Yes,Yes,174.0,37.0,6.0,28.0,2.0,ios,3/26/2020,0
17,28,1/1/2099,0,ALL,Lifetime,INITIAL_PURCHASE,Web,199.0,USD,3/25/2020,No,Yes,United States,Consumer,Web,Yes,Yes,8.0,6.0,3.0,2.0,1.0,ios,3/27/2020,0
18,261,11/15/2020,0,SVE,Limited,INITIAL_PURCHASE,Web,100.26902368240827,GBP,5/1/2019,No,No,United Kingdom,Consumer,Web,Yes,Yes,2.0,1.0,0.0,1.0,0.0,android,11/25/2019,0
22,76,3/24/2020,0,ENG,Limited,INITIAL_PURCHASE,Web,39.5,USD,12/24/2019,Yes,No,United States,Consumer,App,Yes,Yes,8.0,2.0,0.0,1.0,0.0,ios,2/23/2020,1
23,59,1/1/2099,0,ESP,Lifetime,INITIAL_PURCHASE,Web,0.0,USD,3/26/2019,Yes,No,United States,Consumer,App,Yes,Yes,2.0,0.0,0.0,0.0,0.0,android,7/13/2019,0
24,80,2/2/2020,0,FRA,Limited,INITIAL_PURCHASE,Web,0.0,USD,2/2/2019,No,No,United States,Consumer,Web,No,Yes,3.0,2.0,0.0,1.0,0.0,ios,12/3/2019,1
29,2,12/21/2019,0,ENG,Limited,INITIAL_PURCHASE,Web,35.97,USD,9/21/2019,Yes,No,United States,Consumer,Web,Yes,Yes,316.0,243.0,4.0,120.0,1.0,web,12/7/2019,1
31,20,1/1/2099,0,ALL,Lifetime,INITIAL_PURCHASE,Web,199.0,USD,3/21/2020,Yes,No,United States,Consumer,App,Yes,Yes,23.0,7.0,5.0,3.0,2.0,android,3/28/2020,0
38,40,3/3/2020,0,FRA,Limited,INITIAL_PURCHASE,Web,0.0,USD,3/3/2019,No,No,United States,Consumer,Web,No,Yes,3.0,2.0,2.0,1.0,1.0,ios,7/14/2019,1
42,20,4/30/2020,0,ESP,Limited,INITIAL_PURCHASE,Web,38.89,USD,1/27/2020,No,Yes,United States,Consumer,Web,Yes,Yes,19.0,11.0,4.0,7.0,2.0,android,1/28/2020,0
43,114,11/25/2019,0,RUS,Limited,INITIAL_PURCHASE,Web,39.0,USD,8/22/2019,No,Yes,United States,Consumer,Web,No,Yes,79.0,56.0,1.0,38.0,1.0,android,10/8/2019,1
